,tree_depth,sample_size,runtime,run,stress
0,8.0,4.0,15.564977169036865,0.0,94922.18664299295
1,8.0,4.0,16.208191633224487,1.0,77292.1318188913
2,8.0,4.0,15.456632614135742,2.0,83595.93386572324
3,8.0,4.0,15.56574821472168,3.0,88328.84248926757
4,8.0,4.0,15.475357055664062,4.0,82697.27033207004
5,8.0,4.0,15.243769884109497,5.0,91936.00408835766
6,8.0,4.0,16.620959043502808,6.0,79753.09389387825
7,8.0,4.0,15.17156720161438,7.0,98034.31465265127
8,8.0,4.0,15.673109769821167,8.0,90406.7535776377
9,8.0,4.0,15.37812328338623,9.0,92438.05280172163
10,8.0,8.0,20.704926252365112,0.0,34291.770563382306
11,8.0,8.0,20.55337619781494,1.0,32074.90338732482
12,8.0,8.0,20.05443048477173,2.0,43577.7084156946
13,8.0,8.0,18.320645332336426,3.0,39038.68997792191
14,8.0,8.0,18.665746688842773,4.0,39896.03906835308
15,8.0,8.0,19.19693946838379,5.0,34983.67428153293
16,8.0,8.0,21.077938318252563,6.0,36428.802541035104
17,8.0,8.0,18.37704610824585,7.0,42438.722158836696
18,8.0,8.0,19.721892833709717,8.0,33960.20925804043
19,8.0,8.0,19.31252908706665,9.0,39566.93014412578
20,8.0,16.0,25.476876735687256,0.0,30532.88800627795
21,8.0,16.0,25.25591468811035,1.0,34805.82804723264
22,8.0,16.0,26.03956890106201,2.0,29853.648019436398
23,8.0,16.0,24.165403604507446,3.0,29762.398108120255
24,8.0,16.0,26.17544388771057,4.0,29366.011157198474
25,8.0,16.0,26.670997619628906,5.0,29421.7205697818
26,8.0,16.0,25.41983652114868,6.0,28296.28295453536
27,8.0,16.0,25.686713457107544,7.0,28368.967011939025
28,8.0,16.0,27.32410717010498,8.0,28479.327825214034
29,8.0,16.0,26.489698886871338,9.0,29242.50816542146
30,8.0,32.0,34.93057203292847,0.0,27862.70324328721
31,8.0,32.0,35.3433723449707,1.0,27852.61992836743
32,8.0,32.0,38.870867013931274,2.0,27878.23545358511
33,8.0,32.0,33.76860857009888,3.0,27922.02789925086
34,8.0,32.0,35.03294777870178,4.0,28826.530617950855
35,8.0,32.0,34.50862979888916,5.0,29978.075562263344
36,8.0,32.0,35.74637842178345,6.0,27989.39032949168
37,8.0,32.0,34.81650233268738,7.0,27875.598500025346
38,8.0,32.0,35.55292201042175,8.0,29026.127044294157
39,8.0,32.0,38.24265170097351,9.0,27961.530922602346
40,8.0,64.0,54.580930948257446,0.0,27767.575644528348
41,8.0,64.0,58.18887710571289,1.0,27751.921562476837
42,8.0,64.0,49.574872732162476,2.0,27818.867010749873
43,8.0,64.0,55.09453344345093,3.0,27810.389529173008
44,8.0,64.0,53.19403052330017,4.0,27762.86165632497
45,8.0,64.0,52.21863889694214,5.0,27760.101731367577
46,8.0,64.0,52.74548554420471,6.0,27746.015316694054
47,8.0,64.0,48.743995904922485,7.0,27762.31213732194
48,8.0,64.0,51.83419227600098,8.0,27766.48362937977
49,8.0,64.0,53.06000208854675,9.0,27762.236783322624
50,8.0,128.0,97.44398808479309,0.0,27707.639950539207
51,8.0,128.0,90.42400097846985,1.0,27720.970311138182
52,8.0,128.0,90.74162912368774,2.0,27712.31730936096
53,8.0,128.0,85.9347710609436,3.0,27711.609898479546
54,8.0,128.0,93.67422032356262,4.0,27759.10086575499
55,8.0,128.0,92.53328657150269,5.0,27725.51128591392
56,8.0,128.0,93.36601901054382,6.0,27712.426765026183
57,8.0,128.0,90.20858812332153,7.0,27709.797420636867
58,8.0,128.0,90.40616059303284,8.0,27768.104296692458
59,8.0,128.0,85.6123263835907,9.0,27725.026172732414
60,8.0,256.0,155.13156867027283,0.0,27690.10716030587
61,8.0,256.0,161.12337970733643,1.0,27694.82277230321
62,8.0,256.0,158.0621576309204,2.0,27690.562091548687
63,8.0,256.0,163.41966605186462,3.0,27692.21856448386
64,8.0,256.0,157.21752405166626,4.0,27693.99537625612
65,8.0,256.0,162.28170037269592,5.0,27696.00114345208
66,8.0,256.0,159.78673672676086,6.0,27685.344365203735
67,8.0,256.0,157.48517370224,7.0,27691.47100890733
68,8.0,256.0,164.40333461761475,8.0,27691.17541613363
69,8.0,256.0,161.7320487499237,9.0,27697.93454338315
70,8.0,512.0,313.76266622543335,0.0,27682.0827691015
71,8.0,512.0,323.0915801525116,1.0,27681.99022925649
72,8.0,512.0,306.9712586402893,2.0,27681.815444273954
73,8.0,512.0,313.6774671077728,3.0,27680.190258899423
74,8.0,512.0,343.3428530693054,4.0,27680.22234277524
75,8.0,512.0,321.62978863716125,5.0,27680.763871193172
76,8.0,512.0,309.38425159454346,6.0,27679.76845977198
77,8.0,512.0,327.18375849723816,7.0,27679.692473325395
78,8.0,512.0,309.30146193504333,8.0,27680.63748488239
79,8.0,512.0,323.6631908416748,9.0,27680.034474575496
